CPU_User,CPU_System,CPU_Idle
1.4,0.3,98.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109003,298470,10.56%
CPU_Thread
19242
CPU_User,CPU_System,CPU_Idle
11.4,0.7,87.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109100,298373,10.57%
CPU_Thread
19246
CPU_User,CPU_System,CPU_Idle
7.3,0.6,92.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109372,298094,10.60%
CPU_Thread
19313
CPU_User,CPU_System,CPU_Idle
9.3,0.3,90.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109518,297939,10.61%
CPU_Thread
19402
CPU_User,CPU_System,CPU_Idle
8.9,0.3,90.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109543,297913,10.62%
CPU_Thread
19401
CPU_User,CPU_System,CPU_Idle
4.9,1.0,94.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109526,297885,10.61%
CPU_Thread
19658
CPU_User,CPU_System,CPU_Idle
0.9,0.3,98.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109505,297638,10.61%
CPU_Thread
19660
CPU_User,CPU_System,CPU_Idle
3.0,0.5,96.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109548,297328,10.62%
CPU_Thread
19660
CPU_User,CPU_System,CPU_Idle
0.8,0.3,98.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109550,297079,10.62%
CPU_Thread
19661
CPU_User,CPU_System,CPU_Idle
2.7,0.3,97.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110360,296120,10.70%
CPU_Thread
19785
CPU_User,CPU_System,CPU_Idle
1.0,0.9,98.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111369,295041,10.79%
CPU_Thread
19802
CPU_User,CPU_System,CPU_Idle
6.0,0.7,93.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111276,295135,10.78%
CPU_Thread
19724
CPU_User,CPU_System,CPU_Idle
8.9,0.2,90.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111284,295127,10.78%
CPU_Thread
19720
CPU_User,CPU_System,CPU_Idle
2.1,0.6,97.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111345,295008,10.79%
CPU_Thread
19646
CPU_User,CPU_System,CPU_Idle
6.0,0.3,93.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108856,297619,10.55%
CPU_Thread
19177
CPU_User,CPU_System,CPU_Idle
1.0,0.4,98.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108818,297657,10.55%
CPU_Thread
19178
CPU_User,CPU_System,CPU_Idle
1.8,0.6,97.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108832,297642,10.55%
CPU_Thread
19181
CPU_User,CPU_System,CPU_Idle
1.2,0.3,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109052,297421,10.57%
CPU_Thread
19246
CPU_User,CPU_System,CPU_Idle
1.4,0.8,97.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109143,297330,10.58%
CPU_Thread
19248
CPU_User,CPU_System,CPU_Idle
7.5,1.1,91.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109186,297286,10.58%
CPU_Thread
19247
CPU_User,CPU_System,CPU_Idle
1.3,0.3,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109526,296946,10.61%
CPU_Thread
19310
CPU_User,CPU_System,CPU_Idle
9.3,0.2,90.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109531,296937,10.61%
CPU_Thread
18718
CPU_User,CPU_System,CPU_Idle
1.6,0.3,98.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108623,297893,10.53%
CPU_Thread
18711
CPU_User,CPU_System,CPU_Idle
0.9,0.2,98.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108636,297867,10.53%
CPU_Thread
18709
CPU_User,CPU_System,CPU_Idle
9.4,0.5,90.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109332,297094,10.60%
CPU_Thread
18700
CPU_User,CPU_System,CPU_Idle
1.1,0.4,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108710,297628,10.54%
CPU_Thread
18698
CPU_User,CPU_System,CPU_Idle
1.0,0.4,98.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108724,297418,10.54%
CPU_Thread
18735
CPU_User,CPU_System,CPU_Idle
3.7,0.4,95.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108687,297452,10.53%
CPU_Thread
18747
CPU_User,CPU_System,CPU_Idle
0.9,0.6,98.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108668,297471,10.53%
CPU_Thread
18749
CPU_User,CPU_System,CPU_Idle
4.9,0.5,94.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108731,297408,10.54%
CPU_Thread
18747
CPU_User,CPU_System,CPU_Idle
9.1,0.2,90.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108746,297391,10.54%
CPU_Thread
19078
CPU_User,CPU_System,CPU_Idle
0.8,0.2,99.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108877,297367,10.55%
CPU_Thread
19076
CPU_User,CPU_System,CPU_Idle
0.9,0.3,98.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108845,297398,10.55%
CPU_Thread
19077
CPU_User,CPU_System,CPU_Idle
0.9,0.4,98.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108864,297378,10.55%
CPU_Thread
19077
CPU_User,CPU_System,CPU_Idle
0.9,0.2,98.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108845,297397,10.55%
CPU_Thread
19074
CPU_User,CPU_System,CPU_Idle
2.8,0.6,96.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109057,297181,10.57%
CPU_Thread
19147
CPU_User,CPU_System,CPU_Idle
1.3,0.2,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109143,297038,10.58%
CPU_Thread
19152
CPU_User,CPU_System,CPU_Idle
1.0,0.6,98.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109229,296951,10.59%
CPU_Thread
19146
CPU_User,CPU_System,CPU_Idle
6.7,0.3,93.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109492,296680,10.61%
CPU_Thread
19221
CPU_User,CPU_System,CPU_Idle
3.9,0.4,95.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109616,296550,10.62%
CPU_Thread
19301
CPU_User,CPU_System,CPU_Idle
9.4,0.4,90.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109624,296539,10.62%
CPU_Thread
19269
CPU_User,CPU_System,CPU_Idle
5.4,1.0,93.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111193,294894,10.78%
CPU_Thread
19530
CPU_User,CPU_System,CPU_Idle
1.2,0.3,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,112278,293521,10.88%
CPU_Thread
19550
CPU_User,CPU_System,CPU_Idle
17.5,0.4,82.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109962,295538,10.66%
CPU_Thread
19537
CPU_User,CPU_System,CPU_Idle
1.3,0.2,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109803,295470,10.64%
CPU_Thread
19541
CPU_User,CPU_System,CPU_Idle
1.3,0.4,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110742,294444,10.73%
CPU_Thread
19687
CPU_User,CPU_System,CPU_Idle
4.7,0.7,94.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111690,293426,10.82%
CPU_Thread
19694
CPU_User,CPU_System,CPU_Idle
9.0,2.2,88.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111602,293513,10.82%
CPU_Thread
19630
CPU_User,CPU_System,CPU_Idle
9.4,0.2,90.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,113057,292060,10.96%
CPU_Thread
19619
CPU_User,CPU_System,CPU_Idle
2.6,0.6,96.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,114352,290765,11.08%
CPU_Thread
19607
CPU_User,CPU_System,CPU_Idle
35.2,5.2,59.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110982,294200,10.76%
CPU_Thread
19078
CPU_User,CPU_System,CPU_Idle
13.5,0.3,86.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108958,296224,10.56%
CPU_Thread
19079
CPU_User,CPU_System,CPU_Idle
1.3,0.4,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108963,296219,10.56%
CPU_Thread
19144
CPU_User,CPU_System,CPU_Idle
1.7,0.3,98.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109174,296007,10.58%
CPU_Thread
19141
CPU_User,CPU_System,CPU_Idle
1.7,0.2,98.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109246,295934,10.59%
CPU_Thread
19142
CPU_User,CPU_System,CPU_Idle
6.3,0.7,93.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110598,294579,10.72%
CPU_Thread
19145
CPU_User,CPU_System,CPU_Idle
17.5,0.3,82.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111054,294122,10.76%
CPU_Thread
19209
CPU_User,CPU_System,CPU_Idle
8.5,0.6,90.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110473,296080,10.71%
CPU_Thread
18704
CPU_User,CPU_System,CPU_Idle
5.5,0.7,93.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108879,297665,10.55%
CPU_Thread
18724
CPU_User,CPU_System,CPU_Idle
13.6,0.3,86.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108904,297622,10.55%
CPU_Thread
18711
CPU_User,CPU_System,CPU_Idle
4.2,0.2,95.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108879,297638,10.55%
CPU_Thread
18707
CPU_User,CPU_System,CPU_Idle
8.8,0.3,90.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108872,297331,10.55%
CPU_Thread
18706
CPU_User,CPU_System,CPU_Idle
5.6,0.4,94.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108923,297253,10.56%
CPU_Thread
18801
CPU_User,CPU_System,CPU_Idle
3.9,0.5,95.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110432,295744,10.70%
CPU_Thread
18792
CPU_User,CPU_System,CPU_Idle
7.8,0.3,91.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111306,294869,10.79%
CPU_Thread
18804
CPU_User,CPU_System,CPU_Idle
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110717,295457,10.73%
CPU_Thread
CPU_User,CPU_System,CPU_Idle
1.9,0.4,97.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110613,295554,10.72%
CPU_Thread
19134
CPU_User,CPU_System,CPU_Idle
1.7,0.3,98.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110866,295299,10.74%
CPU_Thread
19133
CPU_User,CPU_System,CPU_Idle
5.9,0.3,93.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109408,296755,10.60%
CPU_Thread
19148
CPU_User,CPU_System,CPU_Idle
12.4,10.8,76.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109679,296474,10.63%
CPU_Thread
19264
CPU_User,CPU_System,CPU_Idle
4.3,0.4,95.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109691,296461,10.63%
CPU_Thread
19287
CPU_User,CPU_System,CPU_Idle
9.3,0.4,90.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109694,296452,10.63%
CPU_Thread
19562
CPU_User,CPU_System,CPU_Idle
1.4,0.7,97.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109795,296227,10.64%
CPU_Thread
19549
CPU_User,CPU_System,CPU_Idle
1.5,0.3,98.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111261,294483,10.78%
CPU_Thread
19545
CPU_User,CPU_System,CPU_Idle
1.4,0.4,98.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,112402,293072,10.89%
CPU_Thread
19561
CPU_User,CPU_System,CPU_Idle
32.2,7.2,60.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111686,293542,10.82%
CPU_Thread
19548
CPU_User,CPU_System,CPU_Idle
1.4,0.4,98.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110799,294373,10.74%
CPU_Thread
19676
CPU_User,CPU_System,CPU_Idle
4.2,0.8,94.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111718,293383,10.83%
CPU_Thread
19706
CPU_User,CPU_System,CPU_Idle
14.0,2.3,83.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111647,293456,10.82%
CPU_Thread
19623
CPU_User,CPU_System,CPU_Idle
5.2,0.3,94.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110546,294589,10.71%
CPU_Thread
19322
CPU_User,CPU_System,CPU_Idle
1.6,0.5,97.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111745,293390,10.83%
CPU_Thread
18816
CPU_User,CPU_System,CPU_Idle
1.4,0.4,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109369,295831,10.60%
CPU_Thread
18800
CPU_User,CPU_System,CPU_Idle
9.5,0.4,90.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109598,295602,10.62%
CPU_Thread
18797
CPU_User,CPU_System,CPU_Idle
1.5,0.3,98.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108186,297014,10.48%
CPU_Thread
18885
CPU_User,CPU_System,CPU_Idle
7.3,0.7,91.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108239,296960,10.49%
CPU_Thread
18885
CPU_User,CPU_System,CPU_Idle
1.8,0.5,97.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108190,297010,10.48%
CPU_Thread
18885
CPU_User,CPU_System,CPU_Idle
6.1,0.6,93.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108399,296800,10.50%
CPU_Thread
18902
CPU_User,CPU_System,CPU_Idle
7.2,1.8,91.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108688,296510,10.53%
CPU_Thread
19015
CPU_User,CPU_System,CPU_Idle
8.7,0.2,91.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,107849,298347,10.45%
CPU_Thread
18885
CPU_User,CPU_System,CPU_Idle
2.4,4.1,93.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110948,295234,10.75%
CPU_Thread
18953
CPU_User,CPU_System,CPU_Idle
40.5,8.6,50.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110384,295790,10.70%
CPU_Thread
19047
CPU_User,CPU_System,CPU_Idle
1.4,0.2,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108729,297443,10.54%
CPU_Thread
19053
CPU_User,CPU_System,CPU_Idle
1.3,0.3,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108798,297370,10.54%
CPU_Thread
19305
CPU_User,CPU_System,CPU_Idle
7.3,0.3,92.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108846,297075,10.55%
CPU_Thread
19307
CPU_User,CPU_System,CPU_Idle
11.4,0.9,87.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108842,296801,10.55%
CPU_Thread
19307
CPU_User,CPU_System,CPU_Idle
2.6,0.3,97.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109924,295502,10.65%
CPU_Thread
19308
CPU_User,CPU_System,CPU_Idle
9.7,0.4,89.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110477,294720,10.71%
CPU_Thread
19307
CPU_User,CPU_System,CPU_Idle
38.4,6.7,54.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111596,293600,10.81%
CPU_Thread
19422
CPU_User,CPU_System,CPU_Idle
1.6,0.9,97.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110829,294196,10.74%
CPU_Thread
19442
CPU_User,CPU_System,CPU_Idle
9.0,0.6,90.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110913,294212,10.75%
CPU_Thread
19449
CPU_User,CPU_System,CPU_Idle
2.6,0.6,96.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110811,294009,10.74%
CPU_Thread
19372
CPU_User,CPU_System,CPU_Idle
5.5,0.4,94.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110799,294020,10.74%
CPU_Thread
19365
CPU_User,CPU_System,CPU_Idle
1.2,0.6,98.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108936,295915,10.56%
CPU_Thread
18813
CPU_User,CPU_System,CPU_Idle
3.5,0.8,95.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109491,295704,10.61%
CPU_Thread
18882
CPU_User,CPU_System,CPU_Idle
2.9,0.4,96.6
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110805,294388,10.74%
CPU_Thread
18883
CPU_User,CPU_System,CPU_Idle
4.6,0.9,94.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108425,296768,10.51%
CPU_Thread
CPU_User,CPU_System,CPU_Idle
2.0,0.7,97.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109783,293361,10.64%
CPU_Thread
18478
CPU_User,CPU_System,CPU_Idle
2.3,0.3,97.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108408,294702,10.51%
CPU_Thread
18751
CPU_User,CPU_System,CPU_Idle
5.3,0.2,94.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108573,294505,10.52%
CPU_Thread
18863
CPU_User,CPU_System,CPU_Idle
3.4,0.4,96.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108558,294520,10.52%
CPU_Thread
18864
CPU_User,CPU_System,CPU_Idle
1.5,0.2,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108580,294496,10.52%
CPU_Thread
19140
CPU_User,CPU_System,CPU_Idle
9.6,0.4,90.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108571,294504,10.52%
CPU_Thread
19141
CPU_User,CPU_System,CPU_Idle
1.3,0.3,98.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110042,293033,10.66%
CPU_Thread
19138
CPU_User,CPU_System,CPU_Idle
1.2,0.4,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111067,292007,10.76%
CPU_Thread
19139
CPU_User,CPU_System,CPU_Idle
15.5,13.0,71.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108818,294256,10.55%
CPU_Thread
19275
CPU_User,CPU_System,CPU_Idle
9.7,0.3,90.0
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108890,294179,10.55%
CPU_Thread
19274
CPU_User,CPU_System,CPU_Idle
3.7,0.7,95.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,108943,294124,10.56%
CPU_Thread
19276
CPU_User,CPU_System,CPU_Idle
9.9,0.3,89.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109654,293370,10.63%
CPU_Thread
19216
CPU_User,CPU_System,CPU_Idle
2.9,0.3,96.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109667,293337,10.63%
CPU_Thread
19344
CPU_User,CPU_System,CPU_Idle
1.2,0.3,98.5
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110859,292141,10.74%
CPU_Thread
19397
CPU_User,CPU_System,CPU_Idle
1.5,0.4,98.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111108,291890,10.77%
CPU_Thread
19406
CPU_User,CPU_System,CPU_Idle
1.4,0.3,98.3
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111388,291608,10.79%
CPU_Thread
19407
CPU_User,CPU_System,CPU_Idle
1.3,0.2,98.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109723,293099,10.63%
CPU_Thread
19388
CPU_User,CPU_System,CPU_Idle
6.8,0.5,92.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109755,292757,10.64%
CPU_Thread
19394
CPU_User,CPU_System,CPU_Idle
5.3,0.3,94.4
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109765,292449,10.64%
CPU_Thread
19395
CPU_User,CPU_System,CPU_Idle
3.9,0.4,95.7
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,109814,292112,10.64%
CPU_Thread
19396
CPU_User,CPU_System,CPU_Idle
3.2,0.6,96.2
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,110051,291610,10.67%
CPU_Thread
19396
CPU_User,CPU_System,CPU_Idle
3.7,0.3,96.1
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111025,290542,10.76%
CPU_Thread
19517
CPU_User,CPU_System,CPU_Idle
5.7,0.4,93.9
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
1031881,111058,290273,10.76%
CPU_Thread
19521
CPU_User,CPU_System,CPU_Idle
1.0,0.3,98.8
Total_RAM,Used_RAM,Free_RAM,RAM_Usage
