timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:43.680, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:43.907, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:43.908, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:44.132, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:44.133, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:44.368, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:44.369, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:44.604, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:44.605, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:44.819, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:44.820, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:45.057, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:45.058, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:45.285, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:45.286, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:45.510, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:45.511, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:45.747, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:45.748, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:45.985, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:45.986, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:46.218, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:46.219, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:46.434, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:46.435, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:46.660, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:46.661, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:46.875, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
