timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/04 14:51:48.193, A100-SXM4-40GB, P0, 35, 47 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:48.194, A100-SXM4-40GB, P0, 36, 32 %, 11 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:48.195, A100-SXM4-40GB, P0, 46, 32 %, 6 %, 40537 MiB, 34895 MiB, 5642 MiB
2023/12/04 14:51:48.197, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:48.198, A100-SXM4-40GB, P0, 47, 59 %, 28 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:48.199, A100-SXM4-40GB, P0, 58, 77 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:48.200, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:48.201, A100-SXM4-40GB, P0, 42, 68 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:49.202, A100-SXM4-40GB, P0, 34, 34 %, 21 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:49.203, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:49.204, A100-SXM4-40GB, P0, 51, 80 %, 9 %, 40537 MiB, 34895 MiB, 5642 MiB
2023/12/04 14:51:49.205, A100-SXM4-40GB, P0, 40, 99 %, 29 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:49.206, A100-SXM4-40GB, P0, 46, 54 %, 25 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:49.207, A100-SXM4-40GB, P0, 58, 74 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:49.208, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:49.209, A100-SXM4-40GB, P0, 42, 55 %, 30 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:50.210, A100-SXM4-40GB, P0, 35, 34 %, 21 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:50.211, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
