file,train_execution,overall_execution,cpu_usage,gpu_usage,num_train_epochs,learning_rate,per_device_eval_batch_size,per_device_train_batch_size,num_dataset,file_size (bytes)
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:36,0:00:36,"3,7","2,802,634,239",6,0.00010,4,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:48,0:00:48,2,"2,800,833,702",6,0.00010,4,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:11,0:01:13,"2,1","2,800,833,702",6,0.00010,4,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:55,0:01:56,2,"2,806,155,205",6,0.00010,4,4,800,581016
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:46,0:00:46,"1,2","2,802,634,239",10,0.00010,4,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:10,0:01:11,"2,5","2,802,634,239",10,0.00010,4,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:17,0:01:17,1,"2,800,833,702",10,0.00010,4,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:54,0:01:54,"2,2","2,800,833,702",10,0.00010,4,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:03:07,0:03:07,"2,2","2,806,155,205",10,0.00010,4,4,800,581017
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:27,0:00:27,"4,6","2,802,634,239",2,0.00010,8,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:16,0:00:17,"2,2","2,802,634,239",2,0.00010,8,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:33,0:00:33,"2,1","2,800,833,702",2,0.00010,8,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:29,0:00:29,"1,2","2,800,833,702",2,0.00010,8,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:43,0:00:45,"2,2","2,806,155,205",2,0.00010,8,4,800,581018
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:30,0:00:30,"1,9","2,802,634,239",6,0.00010,8,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:36,0:00:38,"1,8","2,802,634,239",6,0.00010,8,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:46,0:00:46,"2,3","2,800,833,702",6,0.00010,8,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:09,0:01:09,"1,5","2,800,833,702",6,0.00010,8,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:52,0:01:52,"2,6","2,806,155,205",6,0.00010,8,4,800,581019
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:59,0:00:59,"3,5","2,802,634,239",10,0.00010,8,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:55,0:00:57,"1,8","2,802,634,239",10,0.00010,8,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:14,0:01:14,"1,7","2,800,833,702",10,0.00010,8,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:01:49,0:01:50,"0,8","2,800,833,702",10,0.00010,8,4,400,293000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:03:06,0:03:06,"1,5","2,806,155,205",10,0.00010,8,4,800,581020
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:21,0:00:22,"1,3","2,802,634,239",2,0.00010,16,4,50,4100
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:17,0:00:17,"3,6","2,802,634,239",2,0.00010,16,4,100,7300
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:21,0:00:22,2,"2,800,833,702",2,0.00010,16,4,200,143000
https://storage.googleapis.com/training-dataset-tamlops/test_fa9a2823-e86d-4630-9878-33adde1dd4e8.json,0:00:28,0:00:29,"3,5","2,800,833,702",2,0.00010,16,4,400,293000
