file,train_execution,overall_execution,cpu_usage,gpu_usage,resolution,train_batch_size,num_train_epochs,max_train_steps,learning_rate,gradient_accumulation_steps,num_dataset,file_size
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:53:46,0:54:25,"3,9","1,460,471,296",1024,2,6,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,1:38:46,1:39:26,"1,4","146,030,345",1024,2,6,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:00:22,0:00:52,"2,5","1,458,007,002",256,2,10,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:00:49,0:01:20,3,"1,457,993,269",256,2,10,100,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:20,0:01:57,"3,7","1,458,045,149",256,2,10,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:02:02,0:02:30,"3,2","1,458,476,973",256,2,10,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:03:22,0:03:50,"3,7","1,458,045,149",256,2,10,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:45,0:06:13,"4,6","1,458,045,149",256,2,10,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:04:04,0:04:33,"1,8","1,458,007,002",256,2,10,1000,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:07:28,0:09:17,"1,4","1,458,045,149",256,2,10,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:12:16,0:12:46,"6,7","1,458,045,149",256,2,10,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:00:41,0:01:22,"1,7","1,460,633,039",512,2,10,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:09,0:01:45,"2,8","1,461,743,879",512,2,10,100,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:50,0:02:17,"1,7","1,462,322,187",512,2,10,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:03:03,0:03:30,"1,9","1,461,543,989",512,2,10,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:16,0:05:48,"2,9","146,201,396",512,2,10,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:09:26,0:10:02,"1,7","146,230,998",512,2,10,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:06:26,0:06:55,"4,7","1,461,569,929",512,2,10,1000,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:11:08,0:11:54,"3,8","1,462,322,187",512,2,10,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:18:44,0:19:28,"3,1","1,462,322,187",512,2,10,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:02:32,0:03:09,"2,8","1,460,431,623",1024,2,10,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:05,0:05:42,"2,1","1,460,629,988",1024,2,10,100,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:08:38,0:09:13,3,"1,460,629,988",1024,2,10,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:11:58,0:12:26,"5,2","1,460,280,561",1024,2,10,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:23:06,0:23:34,"3,8","146,030,345",1024,2,10,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:51:57,0:52:36,"3,6","1,460,471,296",1024,2,10,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:28:03,0:28:43,"2,1","1,460,012,007",1024,2,10,1000,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,1:01:25,1:02:04,"3,9","1,460,471,296",1024,2,10,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,1:55:09,1:55:49,"3,9","1,460,471,296",1024,2,10,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:00:38,0:01:08,"3,7","1,459,800,005",256,4,2,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:02:36,0:03:16,"2,9","146,024,785",256,4,2,100,1,2,50,6232832
