timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.179, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.409, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:37.410, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.626, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:37.627, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:37.871, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:37.872, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.101, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.102, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.331, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.332, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.557, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.558, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:38.791, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:38.792, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:39.020, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:39.021, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:39.242, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 20:39:39.243, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:39:39.477, GeForce RTX 2080 Ti, P8, 42, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
